DTBASE;COOPERATIVA;CPF;CONTA;CONTRATO;DSPRODUTO;DTCONTRATO;VLCONTRATO;SDDEVEDOR;QTDIASATRASO;SDATRASO;VLPROVISAO
31/01/2021;A;154;49834;349384;Empréstimo;25/08/2020;9.761,40;9.557,40;0;0,00;30,60
31/01/2021;A;186;398914;444074;Empréstimo;08/01/2021;4.314,60;4.365,60;0;0,00;81,60
31/01/2021;A;430;549582;372569;Empréstimo;02/10/2020;5.548,80;5.273,40;0;0,00;20,40
31/01/2021;A;512;217818;223696;Empréstimo;31/01/2020;3.111,00;2.539,80;0;0,00;10,20
31/01/2021;A;754;546819;435007;Empréstimo;23/12/2020;601,80;601,80;19;601,80;10,20
31/01/2021;A;1161;199810;320879;Empréstimo;03/07/2020;2.774,40;2.448,00;0;0,00;10,20
31/01/2021;A;1180;330757;355644;Empréstimo;28/08/2020;5.120,40;4.212,60;0;0,00;10,20
31/01/2021;A;1240;522707;278328;Empréstimo;20/04/2020;14.932,80;12.668,40;0;0,00;40,80
31/01/2021;A;1491;518714;203568;Empréstimo;27/11/2019;1.101,60;581,40;0;0,00;30,60
31/01/2021;A;2191;613085;241210;Empréstimo;16/03/2020;1.326,00;1.326,00;136;1.326,00;520,20
31/01/2021;A;2219;471345;457625;Empréstimo;21/01/2021;561,00;571,20;0;0,00;30,60
31/01/2021;A;2416;526802;286656;Empréstimo;29/04/2020;387,60;408,00;0;0,00;244,80
31/01/2021;A;2951;322857;185644;Empréstimo;18/09/2019;6.568,80;4.304,40;0;0,00;255,00
31/01/2021;A;3015;366937;124193;Empréstimo;15/03/2018;428,40;601,80;70;601,80;357,00
31/01/2021;A;3074;511019;463386;Empréstimo;28/01/2021;918,00;928,20;0;0,00;10,20
31/01/2021;A;3127;515756;427977;Empréstimo;11/12/2020;5.814,00;5.987,40;0;0,00;20,40
31/01/2021;A;3128;437045;333145;Empréstimo;21/07/2020;1.285,20;1.040,40;0;0,00;61,20
31/01/2021;A;3408;230007;260361;Empréstimo;09/04/2020;3.417,00;2.284,80;0;0,00;10,20
31/01/2021;A;3527;481921;425839;Empréstimo;09/12/2020;2.519,40;2.560,20;0;0,00;10,20
31/01/2021;A;4405;545504;184226;Empréstimo;22/04/2020;20,40;71,40;0;0,00;40,80
31/01/2021;A;4648;550879;217232;Empréstimo;14/01/2020;4.406,40;3.508,80;0;0,00;20,40
31/01/2021;A;4981;264761;301340;Financiamento;20/07/2020;51.071,40;50.724,60;0;0,00;153,00
31/01/2021;A;5459;730812;243666;Empréstimo;25/03/2020;6.364,80;3.570,00;0;0,00;10,20
31/01/2021;A;5899;591919;317766;Empréstimo;29/06/2020;8.537,40;7.966,20;0;0,00;51,00
31/01/2021;A;6571;261834;172376;Empréstimo;22/07/2019;7.068,60;2.519,40;0;0,00;10,20
31/01/2021;A;6914;427874;210053;Empréstimo;20/12/2019;275,40;265,20;0;0,00;20,40
31/01/2021;A;6959;129163;440126;Empréstimo;05/01/2021;3.080,40;3.131,40;0;0,00;10,20
31/01/2021;A;7029;115948;374565;Empréstimo;28/09/2020;3.417,00;3.192,60;0;0,00;10,20
31/01/2021;A;7128;627075;370079;Empréstimo;21/09/2020;193,80;132,60;0;0,00;30,60
31/01/2021;A;8123;661128;448836;Empréstimo;15/01/2021;4.406,40;4.447,20;0;0,00;30,60
31/01/2021;A;8189;333175;387961;Empréstimo;16/10/2020;11.954,40;11.852,40;0;0,00;30,60
31/01/2021;A;9174;398993;242205;Empréstimo;18/03/2020;1.234,20;979,20;0;0,00;10,20
31/01/2021;A;9259;425757;327379;Empréstimo;16/07/2020;1.030,20;1.193,40;0;0,00;10,20
31/01/2021;A;9800;487533;403627;Empréstimo;09/11/2020;8.486,40;8.935,20;0;0,00;30,60
31/01/2021;A;10597;175888;198870;Empréstimo;12/06/2020;3.243,60;2.927,40;94;2.927,40;1.744,20
31/01/2021;A;10874;119810;199285;Empréstimo;14/11/2019;6.181,20;4.692,00;0;0,00;30,60
31/01/2021;A;11069;242985;205491;Empréstimo;06/12/2019;3.539,40;2.631,60;0;0,00;10,20
31/01/2021;A;11071;670834;417035;Empréstimo;30/11/2020;4.100,40;4.182,00;0;0,00;20,40
31/01/2021;A;11221;340007;242737;Empréstimo;20/03/2020;6.364,80;5.344,80;0;0,00;30,60
31/01/2021;A;11302;449206;400328;Financiamento;05/11/2020;6.395,40;5.977,20;0;0,00;30,60
31/01/2021;A;11334;441817;162095;Empréstimo;13/05/2019;5.089,80;3.243,60;0;0,00;10,20
31/01/2021;A;11523;235498;370126;Empréstimo;21/09/2020;1.397,40;1.244,40;19;1.244,40;10,20
31/01/2021;A;11582;533682;156966;Empréstimo;11/04/2019;6.599,40;4.590,00;0;0,00;30,60
31/01/2021;A;11773;644149;449541;Empréstimo;12/01/2021;1.764,60;1.785,00;0;0,00;30,60
31/01/2021;A;11832;125765;105888;Empréstimo;14/05/2015;4.794,00;540,60;0;0,00;30,60
31/01/2021;A;11969;280561;395329;Empréstimo;28/10/2020;2.131,80;2.009,40;0;0,00;10,20
31/01/2021;A;12121;425058;150856;Financiamento;14/08/2020;571,20;540,60;0;0,00;30,60
31/01/2021;A;12232;357308;348970;Empréstimo;17/08/2020;2.601,00;2.427,60;0;0,00;10,20
31/01/2021;A;12253;195446;177870;Empréstimo;13/08/2019;5.304,00;1.785,00;0;0,00;10,20
31/01/2021;A;12261;234259;198101;Empréstimo;06/11/2019;2.856,00;1.887,00;0;0,00;10,20
31/01/2021;A;12330;407354;278648;Financiamento;16/04/2020;8.527,20;8.119,20;0;0,00;20,40
31/01/2021;A;12421;609570;382377;Empréstimo;15/10/2020;8.578,20;8.659,80;0;0,00;51,00
31/01/2021;A;12527;265802;126596;Empréstimo;31/07/2020;479,40;459,00;0;0,00;30,60
31/01/2021;A;12532;675771;438330;Empréstimo;28/12/2020;2.131,80;2.182,80;0;0,00;10,20
31/01/2021;A;12812;112896;138931;Empréstimo;28/11/2018;3.845,40;2.091,00;0;0,00;40,80
31/01/2021;A;13523;295982;120569;Empréstimo;04/08/2020;6.579,00;6.548,40;0;0,00;1.540,20
31/01/2021;A;14087;116669;207256;Empréstimo;09/12/2019;7.599,00;4.579,80;0;0,00;10,20
31/01/2021;A;14100;136140;153318;Empréstimo;25/03/2019;21.338,40;12.331,80;0;0,00;40,80
31/01/2021;A;14174;348459;326846;Empréstimo;17/08/2020;6.405,60;6.069,00;0;0,00;40,80
31/01/2021;A;14406;348168;347868;Empréstimo;14/08/2020;3.814,80;3.172,20;0;0,00;10,20
31/01/2021;A;14543;391319;390804;Financiamento;23/10/2020;2.131,80;2.019,60;0;0,00;40,80
31/01/2021;A;14837;312025;321158;Empréstimo;07/07/2020;255,00;163,20;14;163,20;10,20
31/01/2021;A;14940;268487;180980;Empréstimo;27/08/2019;1.611,60;1.132,20;0;0,00;71,40
31/01/2021;A;15363;434417;161859;Financiamento;14/05/2019;7.741,80;5.365,20;0;0,00;20,40
31/01/2021;A;15661;201260;195714;Empréstimo;08/11/2019;8.812,80;6.864,60;0;0,00;40,80
31/01/2021;A;15787;238992;193445;Empréstimo;21/10/2019;1.754,40;867,00;0;0,00;10,20
31/01/2021;A;16268;276063;271177;Empréstimo;14/04/2020;51,00;51,00;260;51,00;30,60
31/01/2021;A;16475;276742;209290;Empréstimo;16/12/2019;2.346,00;1.897,20;0;0,00;10,20
