index,COOPERATIVA,CPF,CONTA,CONTRATO,DSPRODUTO,DTCONTRATO,VLCONTRATO,VLPARCELA,QTPARCELAS
6093,B,6169,80094,84353,Empréstimo,2020-09-09 00:00:00,1060.8,51.0,24.0
6094,B,7067,62338,86922,Empréstimo,2020-11-19 00:00:00,1275.0,102.0,15.0
6095,B,10408,85017,107399,Empréstimo,2021-12-20 00:00:00,642.6,30.6,48.0
6096,B,18167,75174,79627,Empréstimo,2020-04-29 00:00:00,20338.8,652.8,48.0
6097,B,19933,35678,77666,Empréstimo,2020-01-23 00:00:00,1907.4,102.0,24.0
6098,B,21736,85443,76004,Empréstimo,2019-09-16 00:00:00,2325.6,91.8,36.0
6099,B,22257,18552,104002,Financiamento,2021-10-22 00:00:00,14994.0,459.0,60.0
6100,B,23672,116215,102353,Financiamento,2021-09-24 00:00:00,8904.6,306.0,48.0
6101,B,24951,84448,78567,Empréstimo,2020-03-16 00:00:00,15473.4,418.2,60.0
6102,B,33802,36445,100565,Financiamento,2021-10-20 00:00:00,249308.4,4080.0,120.0
6103,B,36699,48713,82655,Financiamento,2020-07-30 00:00:00,8557.8,326.4,36.0
6104,B,38847,35714,198552,Empréstimo,2019-11-08 00:00:00,3529.2,153.0,36.0
6105,B,39227,24996,75029,Empréstimo,2019-06-14 00:00:00,6619.8,193.8,60.0
6106,B,45828,76105,106415,Financiamento,2021-12-06 00:00:00,4549.2,244.8,24.0
6107,B,46208,83843,82348,Empréstimo,2020-07-21 00:00:00,2580.6,91.8,48.0
6108,B,46302,41982,88473,Empréstimo,2020-12-29 00:00:00,163.2,40.8,4.0
6109,B,50275,110514,97537,Empréstimo,2021-06-29 00:00:00,3070.2,295.8,12.0
6110,B,54712,92774,85306,Financiamento,2020-10-06 00:00:00,8557.8,326.4,36.0
6111,B,61257,86680,73014,Empréstimo,2018-11-22 00:00:00,2213.4,71.4,48.0
6112,B,61754,119864,93763,Empréstimo,2021-04-19 00:00:00,693.6,40.8,24.0
