COOPERATIVA;CPF;CONTA;CONTRATO;DSPRODUTO;DTCONTRATO;VLCONTRATO;VLPARCELA;QTPARCELAS
A;32;496314;677366;Financiamento;13/10/2021;4.263,60;153,00;36
A;38;624412;644724;Empréstimo;01/09/2021;81,60;10,20;10
A;154;49834;349384;Empréstimo;25/08/2020;9.761,40;204,00;72
A;186;398914;444074;Empréstimo;08/01/2021;4.314,60;163,20;36
A;430;549582;372569;Empréstimo;02/10/2020;5.548,80;183,60;48
A;512;217818;223696;Empréstimo;31/01/2020;3.111,00;81,60;48
A;754;546819;435007;Empréstimo;23/12/2020;601,80;51,00;12
A;1116;623894;717245;Empréstimo;07/12/2021;2.692,80;112,20;36
A;1117;623895;706482;Empréstimo;26/11/2021;4.457,40;193,80;48
A;1142;126440;498576;Financiamento;05/04/2021;106.681,80;1.591,20;240
A;1161;199810;320879;Empréstimo;03/07/2020;2.774,40;102,00;36
A;1180;330757;355644;Empréstimo;28/08/2020;5.120,40;255,00;24
A;1240;522707;278328;Empréstimo;20/04/2020;14.932,80;387,60;48
A;1276;434957;472144;Empréstimo;10/02/2021;2.845,80;91,80;48
A;1478;669159;411783;Empréstimo;20/11/2020;561,00;40,80;16
A;1491;518714;203568;Empréstimo;27/11/2019;1.101,60;61,20;24
A;1542;683185;575241;Financiamento;09/06/2021;2.131,80;81,60;36
A;1555;711457;713649;Empréstimo;30/11/2021;1.458,60;163,20;10
A;1681;468532;525067;Empréstimo;20/05/2021;2.203,20;71,40;48
A;1895;523284;504477;Financiamento;18/03/2021;5.712,00;173,40;48
A;1921;609143;675823;Empréstimo;11/10/2021;765,00;91,80;10
A;2078;477228;605803;Empréstimo;14/07/2021;2.641,80;81,60;48
A;2139;648081;519701;Empréstimo;31/03/2021;1.744,20;173,40;12
A;2191;613085;241210;Empréstimo;16/03/2020;1.326,00;40,80;48
A;2219;471345;457625;Empréstimo;21/01/2021;561,00;102,00;6
A;2416;526802;286656;Empréstimo;29/04/2020;387,60;173,40;3
A;2573;397569;729979;Empréstimo;28/12/2021;591,60;71,40;10
A;2951;322857;185644;Empréstimo;18/09/2019;6.568,80;265,20;36
A;2984;626338;730824;Empréstimo;28/12/2021;2.417,40;275,40;10
A;2990;661419;618292;Empréstimo;30/07/2021;377,40;40,80;10
A;3015;366937;124193;Empréstimo;15/03/2018;428,40;122,40;36
A;3072;708255;710522;Empréstimo;29/11/2021;1.315,80;153,00;10
A;3074;511019;463386;Empréstimo;28/01/2021;918,00;30,60;36
A;3127;515756;427977;Empréstimo;11/12/2020;5.814,00;183,60;48
A;3128;437045;333145;Empréstimo;21/07/2020;1.285,20;61,20;24
A;3258;478861;472732;Empréstimo;09/02/2021;10.577,40;367,20;48
A;3408;230007;260361;Empréstimo;09/04/2020;3.417,00;163,20;24
A;3451;193806;647576;Financiamento;17/09/2021;5.222,40;163,20;48
A;3527;481921;425839;Empréstimo;09/12/2020;2.519,40;102,00;28
A;3814;369947;655568;Empréstimo;14/09/2021;2.550,00;102,00;37
A;4405;545504;184226;Empréstimo;22/04/2020;20,40;10,20;24
A;4408;545507;667161;Empréstimo;27/09/2021;234,60;40,80;10
A;4516;404426;700384;Empréstimo;12/11/2021;4.447,20;153,00;36
A;4648;550879;217232;Empréstimo;14/01/2020;4.406,40;183,60;36
A;4662;151679;722141;Financiamento;13/12/2021;6.405,60;224,40;36
A;4707;435135;476567;Empréstimo;18/02/2021;8.670,00;346,80;36
A;4952;280135;591551;Empréstimo;28/06/2021;1.397,40;61,20;27
A;4981;264761;301340;Financiamento;20/07/2020;51.071,40;744,60;240
A;5180;292731;480337;Empréstimo;17/02/2021;1.091,40;112,20;10
A;5405;580181;547976;Empréstimo;05/05/2021;1.540,20;61,20;36
A;5459;730812;243666;Empréstimo;25/03/2020;6.364,80;438,60;18
A;5657;362097;520478;Empréstimo;05/04/2021;907,80;51,00;20
A;5822;544288;171088;Empréstimo;26/07/2019;1.407,60;71,40;24
A;5840;692763;689023;Empréstimo;01/11/2021;948,60;112,20;10
A;5865;723531;490344;Empréstimo;26/02/2021;1.020,00;112,20;10
A;5899;591919;317766;Empréstimo;29/06/2020;8.537,40;265,20;48
